ID,LENGTH
TX3-INV12-STR26,-160
TX3-INV13-STR17,-160
TX3-INV14-STR18,-160
TX3-INV15-STR23,-160
TX3-INV17-STR18,-160
TX3-INV20-STR24,-160
TX3-INV21-STR22,-160
TX3-INV22-STR20,-160
TX3-INV23-STR18,-160
TX3-INV24-STR20,-160
TX4-INV11-STR23,-160
TX4-INV13-STR4,-160
TX4-INV13-STR20,-160
TX4-INV14-STR7,-160
TX4-INV15-STR3,-160
TX4-INV15-STR19,-160
TX4-INV27-STR22,-160
TX5-INV1-STR23,-160
TX5-INV12-STR5,-160
TX5-INV18-STR8,-160
TX5-INV19-STR28,-160
TX5-INV23-STR15,-160
TX5-INV24-STR12,-160
TX5-INV24-STR28,-160
TX6-INV2-STR25,-160
TX6-INV3-STR27,-160
TX6-INV4-STR21,-160
TX6-INV4-STR27,160
TX6-INV5-STR19,-160
TX6-INV6-STR23,-160
TX6-INV7-STR23,-160
TX6-INV10-STR8,-160
TX6-INV10-STR17,-160
TX6-INV10-STR29,-160
TX6-INV11-STR10,-160
TX6-INV11-STR20,-160
TX6-INV12-STR13,-160
TX6-INV13-STR16,-160
TX6-INV14-STR17,-160
TX6-INV16-STR23,-160
TX1-INV3-STR10,159
TX1-INV4-STR4,159
TX1-INV11-STR4,-159
TX1-INV12-STR6,-159
TX1-INV14-STR19,-159
TX1-INV23-STR18,159
TX1-INV24-STR22,159
TX2-INV4-STR19,159
TX2-INV9-STR4,159
TX2-INV10-STR11,159
TX2-INV11-STR4,159
TX2-INV12-STR8,159
TX2-INV15-STR22,-159
TX2-INV18-STR18,159
TX2-INV19-STR13,159
TX2-INV20-STR17,159
TX2-INV21-STR23,159
TX2-INV22-STR15,159
TX2-INV23-STR18,159
TX2-INV25-STR7,-159
TX3-INV1-STR13,-159
TX3-INV5-STR1,-159
TX3-INV10-STR13,-159
TX3-INV13-STR28,159
TX3-INV20-STR6,-159
TX3-INV23-STR28,-159
TX4-INV8-STR25,-159
TX4-INV12-STR2,-159
TX4-INV14-STR23,-159
TX4-INV20-STR28,-159
TX4-INV21-STR29,-159
